title,description,genres
Smokey and the Bandit Ride Again,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail.","Action, Adventure, Comedy"
A Nightmare on Elm Street,"The spectre of a disfigured man haunts the children of the parents who murdered him, stalking and killing them in their dreams.","Crime, Drama, Horror"
Fallen,"A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years.","Drama, Fantasy, Romance"
Spy Kids 2: Island of Lost Dreams,"The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids.","Action, Adventure, Comedy"
Blank Cheque,"After a bike accident, a young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters it belongs to are in pursuit.","Comedy, Crime, Family"
Falling for Christmas,"In the days leading up to Christmas, a young and newly engaged heiress experiences a skiing accident. After being diagnosed with amnesia, she finds herself in the care of the handsome lodge owner and his daughter.","Comedy, Romance"
Rough Night,Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.,Comedy
Gnomeo & Juliet 2: Sherlock Gnomes,"Garden gnomes, Gnomeo (James McAvoy) and Juliet (Emily Blunt), recruit renowned detective Sherlock Gnomes (Johnny Depp) to investigate the mysterious disappearance of other garden ornaments.","Animation, Adventure, Comedy"
Raksha Bandhan,"Lala Kedarnath, the eldest and only brother of 4 sisters, runs a chaat shop that was started by his father. Lala promises his frail mother on her deathbed that he will get married only ... See full summary »","Comedy, Drama, Family"
Paul Blart: Mall Cop,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.","Action, Comedy, Crime"
Madea's Family Reunion,"While planning her family reunion, a pistol-packing grandma must contend with the other dramas on her plate, including the runaway who has been placed under her care, and her love-troubled nieces.","Comedy, Drama, Romance"
Rim of the World,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,"Action, Adventure, Comedy"
Locked Down,"A couple attempts a high-risk, high-stakes jewelry heist at a department store.","Comedy, Crime, Romance"
Malibu's Most Wanted,"A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.","Comedy, Crime"
Bait,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building - along with 12-foot Great White Sharks.,"Action, Fantasy, Horror"
Jungle 2 Jungle,"A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.","Comedy, Family"
The Week Of,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough.",Comedy
The First Purge,"America's third political party, the New Founding Fathers of America, comes to power and conducts an experiment: no laws for 12 hours on Staten Island. No one has to stay on the island, but $5,000 is given to anyone who does.","Action, Horror, Sci-Fi"
The Possession of Hannah Grace,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.","Horror, Mystery, Thriller"
Get a Job,"After college, Will is having problems getting a good, lasting job, as are his roomies, his girlfriend, and his just-fired dad.",Comedy
Bad Girls,Four prostitutes join together to travel the Old West.,"Action, Adventure, Romance"
Desperados,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.","Comedy, Romance"
Dominion: Prequel to the Exorcist,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. Merrin's initial battle with Pazuzu leads to the rediscovery of his faith.","Drama, Horror, Thriller"
Friday the 13th VII: The New Blood,"Jason Voorhees is accidentally freed from his watery prison by a telekinetic teenager. Now, only she can stop him.","Horror, Thriller"
Zero,"The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life.","Comedy, Drama, Romance"
The Royal Treatment,"New York hairdresser Izzy seizes the chance to work at the wedding of a charming prince, but when sparks between them fly, will love or duty prevail?","Comedy, Family, Romance"
Zookeeper,"A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious.","Comedy, Family, Fantasy"
Superstar,"A nerdy Catholic schoolgirl, Mary Katherine Gallagher, dreams of superstardom.","Comedy, Romance"
Sandy Wexler,"Sandy Wexler is a talent manager working in Los Angeles in the 1990s, diligently representing a group of eccentric clients on the fringes of show business.",Comedy
The Strangers: Prey at Night,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.,Horror
Paradise Hills,Uma is a young woman who wakes up in an apparently idyllic reform school for young ladies. But a dark secret lies within its walls.,"Fantasy, Mystery, Sci-Fi"
Emmanuelle,"The wife of a French diplomat in Bangkok, Emmanuelle embarks on a voyage of sexual discovery.","Drama, Romance"
Ram Setu,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.,"Action, Adventure"
Cult of Chucky,"Chucky returns to terrorize his human victim, Nica. Meanwhile, the killer doll has some scores to settle with his old enemies, with the help of his former wife.","Horror, Thriller"
Empire State,"Two childhood friends plan to rob an armored-car depository, but an NYPD officer stands in their way.","Action, Crime, Thriller"
The Lazarus Effect,A group of medical researchers discover a way to bring dead patients back to life.,"Horror, Mystery, Sci-Fi"
The Wild,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.","Animation, Adventure, Comedy"
The Lords of Salem,"Heidi, a radio DJ, is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?","Horror, Thriller"
King Solomon's Mines,Fortune hunter Allan Quatermain teams up with a resourceful woman to help her find her missing father lost in the wilds of 1900s Africa while being pursued by hostile tribes and a rival German explorer.,"Action, Adventure, Comedy"
Cadaver,"In the starving aftermath of a nuclear disaster, a family of three attends a charitable event at a hotel, which takes a dark turn when people start to disappear.","Drama, Horror, Thriller"
Ibiza,A young American woman and her two best friends seek out a hot DJ in Spain.,"Comedy, Romance"
Adrift,"When a group of friends fail to lower the ladder of their boat, they find themselves stranded in the surrounding waters and struggle to survive.","Adventure, Drama, Horror"
